<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
04.09.2018;10:01:00;107580.0000000;107580.0000000;107540.0000000;107540.0000000
04.09.2018;10:08:00;107700.0000000;107700.0000000;107610.0000000;107610.0000000
04.09.2018;10:11:00;107500.0000000;107500.0000000;107500.0000000;107500.0000000
04.09.2018;10:15:00;107570.0000000;107570.0000000;107570.0000000;107570.0000000
04.09.2018;10:17:00;107560.0000000;107560.0000000;107560.0000000;107560.0000000
04.09.2018;10:18:00;107610.0000000;107610.0000000;107610.0000000;107610.0000000
04.09.2018;10:20:00;107630.0000000;107640.0000000;107630.0000000;107640.0000000
04.09.2018;10:21:00;107670.0000000;107670.0000000;107670.0000000;107670.0000000
04.09.2018;10:25:00;107530.0000000;107530.0000000;107490.0000000;107490.0000000
04.09.2018;10:26:00;107530.0000000;107530.0000000;107490.0000000;107490.0000000
04.09.2018;10:30:00;107550.0000000;107550.0000000;107550.0000000;107550.0000000
04.09.2018;10:34:00;107640.0000000;107800.0000000;107640.0000000;107800.0000000
04.09.2018;10:35:00;107760.0000000;107760.0000000;107760.0000000;107760.0000000
04.09.2018;10:36:00;107710.0000000;107710.0000000;107710.0000000;107710.0000000
04.09.2018;10:40:00;107790.0000000;107790.0000000;107790.0000000;107790.0000000
04.09.2018;10:42:00;107750.0000000;107750.0000000;107750.0000000;107750.0000000
04.09.2018;10:47:00;107720.0000000;107720.0000000;107650.0000000;107680.0000000
04.09.2018;10:52:00;107750.0000000;107750.0000000;107720.0000000;107720.0000000
04.09.2018;10:53:00;107610.0000000;107610.0000000;107600.0000000;107600.0000000
04.09.2018;10:54:00;107580.0000000;107580.0000000;107580.0000000;107580.0000000
04.09.2018;10:55:00;107510.0000000;107580.0000000;107510.0000000;107580.0000000
04.09.2018;10:57:00;107590.0000000;107590.0000000;107590.0000000;107590.0000000
04.09.2018;10:58:00;107550.0000000;107550.0000000;107510.0000000;107510.0000000
04.09.2018;10:59:00;107550.0000000;107550.0000000;107550.0000000;107550.0000000
04.09.2018;11:03:00;107450.0000000;107450.0000000;107430.0000000;107430.0000000
04.09.2018;11:08:00;107530.0000000;107530.0000000;107530.0000000;107530.0000000
04.09.2018;11:09:00;107590.0000000;107600.0000000;107590.0000000;107600.0000000
04.09.2018;11:11:00;107690.0000000;107690.0000000;107690.0000000;107690.0000000
04.09.2018;11:19:00;107610.0000000;107610.0000000;107610.0000000;107610.0000000
04.09.2018;11:21:00;107640.0000000;107640.0000000;107640.0000000;107640.0000000
04.09.2018;11:22:00;107690.0000000;107690.0000000;107690.0000000;107690.0000000
